n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,2.0,256,98.93,8000.00,Ball,1,0.0,0.27,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Ball,1,0.0,17269.45,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Ball,1,0.0,27064.03,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Ball,1,0.0,11276.85,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Ball,1,0.0,5589.33,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Ball,1,0.0,176.06,1.00,2,0,0,0,0.00
1,134217728,2.0,256,30.43,64.00,Line,1,0.0,577641.02,1.00,2,0,0,0,0.00
1,134217728,2.0,256,46.43,96.00,Line,1,0.0,4374293.63,1.00,2,0,0,0,0.00
1,134217728,2.0,256,62.43,128.00,Line,1,0.0,19455879.17,1.00,2,0,0,0,0.00
1,134217728,2.0,256,126.43,256.00,Line,1,0.0,3046445.14,1.00,2,0,0,0,0.00
1,134217728,2.0,256,254.43,512.00,Line,1,0.0,583248.50,1.00,2,0,0,0,0.00
1,134217728,2.0,256,510.43,1024.00,Line,1,0.0,704376.48,1.00,2,0,0,0,0.00
1,134217728,2.0,256,7.03,64.00,Disk,1,0.0,10542526.35,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Disk,1,0.0,2443303.74,1.00,2,0,0,0,0.00
1,134217728,2.0,256,10.77,128.00,Disk,1,0.0,1735488.22,1.00,2,0,0,0,0.00
1,134217728,2.0,256,16.05,256.00,Disk,1,0.0,1526490.06,1.00,2,0,0,0,0.00
1,134217728,2.0,256,23.53,512.00,Disk,1,0.0,3740877.06,1.00,2,0,0,0,0.00
1,134217728,2.0,256,34.11,1024.00,Disk,1,0.0,882618.74,1.00,2,0,0,0,0.00
1,134217728,2.0,256,49.06,2048.00,Disk,1,0.0,668302.92,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Disk,1,0.0,81558.33,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Disk,1,0.0,56261.74,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Disk,1,0.0,93440.86,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Disk,1,0.0,71898.97,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Disk,1,0.0,26582.92,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Disk,1,0.0,6735.02,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Disk,1,0.0,483.58,1.00,2,0,0,0,0.00
1,134217728,2.0,256,7.03,64.00,Ball,1,0.0,6023529.52,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Ball,1,0.0,733142.02,1.00,2,0,0,0,0.00
1,134217728,2.0,256,10.77,128.00,Ball,1,0.0,1169123.55,1.00,2,0,0,0,0.00
1,134217728,2.0,256,16.05,256.00,Ball,1,0.0,450603.80,1.00,2,0,0,0,0.00
1,134217728,2.0,256,23.53,512.00,Ball,1,0.0,350370.52,1.00,2,0,0,0,0.00
1,134217728,2.0,256,34.11,1024.00,Ball,1,0.0,296714.41,1.00,2,0,0,0,0.00
1,134217728,2.0,256,49.06,2048.00,Ball,1,0.0,218063.10,1.00,2,0,0,0,0.00
1,134217728,2.0,256,70.22,4096.00,Ball,1,0.0,98806.84,1.00,2,0,0,0,0.00
1,134217728,2.0,256,98.93,8000.00,Ball,1,0.0,71669.21,1.00,2,0,0,0,0.00
1,134217728,2.0,256,140.73,16000.00,Ball,1,0.0,97107.28,1.00,2,0,0,0,0.00
1,134217728,2.0,256,199.85,32000.00,Ball,1,0.0,97948.88,1.00,2,0,0,0,0.00
1,134217728,2.0,256,283.46,64000.00,Ball,1,0.0,1062.60,1.00,2,0,0,0,0.00
1,134217728,2.0,256,401.70,128000.00,Ball,1,0.0,4909.02,1.00,2,0,0,0,0.00
1,134217728,2.0,256,502.63,200000.00,Ball,1,0.0,2744.82,1.00,2,0,0,0,0.00
1,134217728,2.0,256,30.43,64.00,Line,1,0.0,8742933.34,1.00,2,0,0,0,0.00
1,134217728,2.0,256,46.43,96.00,Line,1,0.0,44335572.38,1.00,2,0,0,0,0.00
1,134217728,2.0,256,62.43,128.00,Line,1,0.0,103234.31,1.00,2,0,0,0,0.00
1,134217728,2.0,256,126.43,256.00,Line,1,0.0,2413804.75,1.00,2,0,0,0,0.00
1,134217728,2.0,256,254.43,512.00,Line,1,0.0,324298.16,1.00,2,0,0,0,0.00
1,134217728,2.0,256,510.43,1024.00,Line,1,0.0,288463.02,1.00,2,0,0,0,0.00
1,134217728,2.0,256,7.03,64.00,Disk,1,0.0,47440552.97,1.00,2,0,0,0,0.00
1,134217728,2.0,256,9.06,96.00,Disk,1,0.0,152369.20,1.00,2,0,0,0,0.00
